Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat [SSE问答],1401,0,4,8.288758886444626,1.566799997817725,633.6155999997573,0.0,7.806604909008019,0.0,4,5,6,9,18,24,36,50,590,630,630
GET,/api/conversations [会话列表],138,0,6,11.971264492719945,2.7824999997392297,60.792799999035196,3435.072463768116,0.7689589417866571,0.0,6,13,18,20,27,35,47,55,61,61,61
GET,/api/health,1405,3,3,4.187360711747783,0.7948999991640449,48.923199999990175,59.87188612099644,7.828893573987342,0.016716498734492546,3,3,4,5,10,16,19,21,48,49,49
,Aggregated,2944,3,3,6.50401749317592,0.7948999991640449,633.6155999997573,189.5923913043478,16.404457424782017,0.016716498734492546,3,4,5,7,15,21,29,41,590,630,630
