Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat [SSE问答],945,446,110,34693.04069714287,1.9658000019262545,87012.33720000164,9.911111111111111,1.6427225944500803,0.7752955313489267,110,56000,82000,83000,84000,84000,85000,86000,87000,87000,87000
GET,/api/conversations [会话列表],122,57,55000,38252.641875409776,1.830500001233304,86941.555100002,1919.950819672131,0.21207635610889924,0.09908485490333817,55000,57000,82000,83000,85000,86000,87000,87000,87000,87000,87000
,Aggregated,1067,503,250,35100.04289372073,1.830500001233304,87012.33720000164,228.3036551077788,1.8547989505589795,0.8743803862522649,250,56000,82000,83000,84000,84000,86000,86000,87000,87000,87000
