Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat [SSE问答],663,0,3,12.868799698376614,1.7586000030860305,1103.7337999987358,0.0,3.694379550636658,0.0,3,4,4,5,9,19,63,270,1100,1100,1100
GET,/api/conversations [会话列表],64,0,6,13.655173437541634,2.8036000003339723,272.698799999489,1606.140625,0.35662185707503186,0.0,6,8,13,18,23,32,33,270,270,270,270
GET,/api/health,664,0,2,3.1584759037001957,0.8921000007831026,27.302200000121957,60.0,3.6999517671534554,0.0,2,3,3,3,5,11,17,19,27,27,27
,Aggregated,1391,0,3,8.269714809549454,0.8921000007831026,1103.7337999987358,102.53989935298347,7.7509531748651455,0.0,3,3,4,4,8,17,27,64,930,1100,1100
